date,TMP,MR,DSWRF_est,Ld,VGRD,UGRD,PRES,APCP01,RH,Pw,DT,h,A,DN_est,SH_est,DN_msm,SH_msm,NR,w_spd,w_dir
1970-01-01 00:00:00,-1.7658361058507235,2.1547980846060866,0.0,0.7625684388037209,-0.5881439591890166,0.6911813777619908,101569.63538278258,0.0,65.18568032238105,3.516884947769693,-6.604545753452614,-75.97301061014318,273.04711858435826,0.0,0.0,0.0,0.0,0.34468772650251844,0.9046196211018223,315.0
1970-01-01 01:00:00,-2.3496746925097414,2.224221064487407,0.0,0.7540114521117267,-1.0576956887654791,1.2999071433857208,101747.51503575838,0.0,70.47802857403033,3.6368441266371128,-6.238464980624812,-73.51833407847283,37.61478705792692,0.0,0.0,0.0,0.0,0.343698403816497,1.6670769499587232,315.0
1970-01-01 02:00:00,-2.926737397628493,2.283629720976013,0.0,0.7442247955786174,-1.0369819787993868,0.992006603949453,101882.71435921901,0.0,75.68832894183298,3.7385205415954927,-5.907190237429335,-63.925083270918165,66.43435888688892,0.0,0.0,0.0,0.0,0.34415234795357375,1.434711585811787,315.0
1970-01-01 03:00:00,-2.0375709121130146,2.315732635376083,0.0,0.7464591843690873,-2.038649676473225,0.9802725091423917,101903.50416424498,0.0,71.7248484326303,3.7914403805163808,-5.733036740134143,-52.31810425872507,81.03349904001868,0.0,0.0,0.0,0.0,0.35635511800231867,2.2586007585061187,337.5
1970-01-01 04:00:00,-2.780197370018966,2.354150731011572,0.0,0.7465832009801696,-1.3869544638586575,1.1584312804778987,102000.75436058626,0.0,77.26741440480669,3.8571093584856184,-5.507988429562708,-40.256756516200575,90.89603520179247,0.0,0.0,0.0,0.0,0.3441630673637546,1.799859520555947,315.0
1970-01-01 05:00:00,-3.4525011197438356,2.364722914364246,0.0,0.7365857256887887,-0.6740009573018324,1.2266122371168815,102103.81854374589,0.0,81.75675769202435,3.8774964732466524,-5.424000652080943,-28.2069132282382,99.10068178580663,0.0,0.0,0.0,0.0,0.34334510545478436,1.3911709399577898,292.5
1970-01-01 06:00:00,-2.7300122795707584,2.343629311327489,0.0,0.7364115859801774,-1.8272924846290728,1.252753576455133,102187.10420611512,0.0,76.88785645143395,3.845416475170249,-5.508092281393452,-16.417808497299358,106.89088294206627,0.0,0.0,0.0,0.0,0.3551310765073876,2.1779214561595572,315.0
1970-01-01 07:00:00,-3.602321932350155,2.3398065707381632,0.0,0.7344257200891317,-1.6612417940582143,1.024218049463526,102266.62483256705,0.0,81.98547647041065,3.842131709732896,-5.518046385336383,-5.1167413900117,114.96777769073779,0.0,0.0,0.0,0.0007659438171061769,0.34310073101650407,1.9267385707416935,337.5
1970-01-01 08:00:00,-1.9589781392678367,2.4179202889567435,0.1652099745776669,0.7396607038172269,-1.1287025202847298,1.1062567374425218,102263.16410531453,0.0,74.97786718521206,3.9702657284663045,-5.135400183036378,5.423904993895392,123.88598967765074,0.33324758794051745,0.13371018810530827,1.1790338672631975,0.1547306438801484,0.3643843331829666,1.5803548468145923,315.0
1970-01-01 09:00:00,1.272554251470556,2.4614836350827822,0.7659323004025389,0.768673450612947,-1.4448433753146543,1.7272157338773928,102248.5785114393,0.0,60.308798863809635,4.041221000921416,-4.928339192376037,14.829277133482567,134.1541586091601,1.8040298765259652,0.30420933709683,2.5148376389669003,0.23314218544780663,0.3889432108480789,2.2429845064342557,315.0
1970-01-01 10:00:00,3.7354106945458416,2.5354585331719077,1.2473898557215257,0.8025924475301126,-0.9299541982451713,1.609632438921817,102195.18562867524,0.0,52.10585017015534,4.160498008177906,-4.58764370803204,22.585204760358526,146.2111905454006,2.5245816154470995,0.2778068331295068,3.1107404591886154,0.23609701300514674,0.3971439974010128,1.8429845297128777,292.5
1970-01-01 11:00:00,5.794435914102895,2.5549266861711493,1.5757511667463675,0.8304912310008573,0.2048398912633827,1.352316061944496,102093.43329015445,0.0,45.42451488053062,4.188269516142674,-4.50960216305562,28.046846609211208,160.2251140306207,2.300027470018776,0.494293595943871,3.27659985884307,0.2673444820774822,0.4053320478019228,1.3523160619444958,270.0
1970-01-01 12:00:00,8.259447493558428,2.1424099325547785,1.8912089863814754,0.8525927450627545,-0.03637650198862737,2.6348940687098215,101951.91338979069,0.0,32.11872609225571,3.5071660092366947,-6.576411601558598,30.57007305497648,175.76127922467933,2.8322542922218896,0.4507477901428707,3.325450950615993,0.2757359345673698,0.42749651441107017,2.6348940687098215,270.0
1970-01-01 13:00:00,9.492900546434974,1.8857972315005869,1.7259056779067459,0.863945909190275,-0.6754794758235373,3.2981914576517184,101897.02454353265,0.0,25.99580309802658,3.0854240880929558,-8.049076134407851,29.783839555352216,191.67051904794724,2.7883308126290225,0.34086038460860757,3.3007966923667094,0.2673176366859298,0.43873450861388097,3.3056263863283117,292.5
1970-01-01 14:00:00,9.693552714742992,1.74675331841153,1.5046572094126685,0.8657460308942364,-0.7643263402992799,3.00965251557106,101886.98859286055,0.0,23.754158683237648,2.8576476087852543,-8.922936392573249,25.809542675810867,206.59474852043186,2.8206209831620277,0.27661230546934035,3.173507628644258,0.23422939339661641,0.4406374924712675,3.0730513864599853,292.5
1970-01-01 15:00:00,9.734347563178066,1.6464138364524756,1.103015717802826,0.8629187395214668,-0.46489789669396503,1.7986375873708649,101762.86813940309,0.0,22.30118643057573,2.690213300499398,-9.606928223282738,19.184374413253792,219.69857316643873,2.751024305857615,0.19900413471352307,2.680011257957548,0.25143067831339927,0.4442186316634622,1.839633176183581,292.5
