num1,num2,data,bpm,ibi
1,220490,1023,167,252
2,220491,1023,167,252
3,220492,974,167,252
4,220494,287,167,252
5,220495,438,167,252
6,220496,418,167,252
7,220497,381,167,252
8,220498,215,167,252
9,220499,80,167,252
10,220500,175,167,252
11,220501,652,167,252
12,220502,613,167,252
13,220503,401,167,252
14,220504,560,167,252
15,220505,706,167,252
16,220506,680,167,252
17,220507,636,167,252
18,220508,597,167,252
19,220509,581,167,252
20,220510,664,167,252
21,220511,698,167,252
22,220512,624,167,600
23,220513,573,167,600
24,220514,724,167,600
25,220515,801,167,600
26,220516,710,167,600
27,220517,636,167,600
28,220518,737,167,600
29,220519,811,167,392
30,220520,781,167,392
31,220521,660,167,392
32,220522,739,167,392
33,220523,853,167,392
34,220524,843,167,252
35,220525,1023,167,252
36,220526,1023,167,252
37,220527,1023,167,252
38,220528,558,167,252
39,220529,129,167,252
40,220530,0,167,252
41,220531,0,167,252
42,220532,259,167,252
43,220533,798,167,252
44,220534,1023,167,554
45,220535,1023,167,554
46,220536,672,167,554
47,220537,247,167,554
48,220538,287,167,554
49,220539,558,167,554
50,220540,633,167,332
51,220541,870,167,332
52,220542,1023,167,332
53,220543,1023,167,332
54,220544,653,167,332
55,220545,566,167,332
56,220546,636,167,332
57,220547,900,196,418
58,220548,1023,196,418
59,220549,1023,196,418
60,220550,847,196,418
61,220551,799,196,418
62,220552,368,196,418
63,220553,592,196,418
64,220554,752,196,418
65,220555,704,196,418
66,220556,508,196,418
67,220557,593,196,418
68,220558,852,174,614
69,220559,1023,174,614
70,220560,1023,174,614
71,220561,948,174,614
72,220562,708,174,614
73,220563,650,174,614
74,220564,773,174,614
75,220565,881,174,368
76,220566,828,174,368
77,220567,625,174,368
78,220568,415,174,368
79,220569,364,174,368
80,220570,751,174,368
81,220571,841,174,328
82,220573,573,174,328
83,220574,685,174,328
84,220575,791,165,252
85,220576,719,165,252
86,220577,683,165,252
87,220578,579,165,252
88,220579,594,165,252
89,220580,680,165,252
90,220581,777,165,304
91,220582,776,165,304
92,220583,775,165,304
93,220584,729,165,304
94,220585,580,163,252
95,220708,1023,123,418
96,220709,0,123,418
97,220710,244,123,418
98,220711,692,108,326
99,220712,737,108,326
100,220713,644,108,326
101,220714,631,108,326
102,220715,636,108,326
103,220716,607,108,252
104,220717,571,108,252
105,220718,581,108,252
106,220719,696,108,252
107,220720,799,110,252
108,220721,836,110,252
109,220722,844,110,252
110,220723,1023,110,252
111,220724,1023,110,252
112,220725,920,110,252
113,220726,1023,110,252
114,220727,1023,110,252
115,220728,1023,110,252
116,220729,1023,110,252
117,220730,1023,110,252
118,220731,907,110,252
119,220732,954,110,252
120,220733,1023,110,252
121,220734,808,110,252
122,220735,650,110,252
123,220736,668,110,252
124,220737,716,110,252
125,220738,728,110,252
126,220739,678,110,252
127,220740,664,110,252
128,220741,694,110,252
129,220742,760,110,252
130,220743,795,92,1278
131,220744,760,92,1278
132,220745,755,92,1278
133,220746,777,92,1278
134,220747,735,92,1278
135,220748,651,92,1278
136,220749,607,92,1278
137,220750,523,92,1278
138,220751,489,92,1278
139,220752,667,92,1278
140,220753,823,92,1278
141,220754,827,92,1278
142,220755,806,92,1278
143,220756,774,92,1278
144,220757,779,92,1278
145,220758,720,92,766
146,220759,639,92,766
147,220760,676,92,766
148,220761,722,92,766
149,220762,756,92,766
150,220763,720,92,766
151,220764,719,92,766
152,220765,705,92,766
153,220766,743,92,766
154,220767,739,92,766
155,220768,735,92,766
156,220769,705,92,766
157,220770,668,92,766
158,220771,685,92,766
159,220772,704,92,766
160,220773,707,92,766
161,220774,710,92,766
162,220775,702,92,766
163,220776,710,92,766
164,220777,684,92,766
165,220778,696,92,766
166,220779,701,92,766
167,220780,740,92,766
168,220781,720,92,766
169,220782,745,92,766
170,220783,727,92,766
171,220784,748,92,766
172,220785,670,92,1408
173,220786,636,92,1408
174,220787,666,92,1408
175,220788,684,92,1408
176,220789,702,92,1408
177,220790,729,92,1408
178,220791,728,92,1408
179,220792,728,92,1408
180,220793,712,92,1408
181,220794,711,92,1408
182,220795,715,92,1408
183,220796,761,92,1408
184,220797,705,92,1408
185,220798,709,92,1408
186,220799,739,92,1408
187,220800,734,92,1408
188,220801,733,92,1408
189,220802,729,92,844
