num1,num2,data,bpm,ibi
1,8017,509,70,858
2,8018,523,70,858
3,8019,533,70,858
4,8020,537,70,858
5,8021,537,70,858
6,8022,517,70,858
7,8023,709,71,814
8,8024,1023,71,814
9,8025,1023,71,814
10,8026,1023,71,814
11,8027,728,71,814
12,8028,495,71,814
13,8029,525,71,814
14,8030,660,71,814
15,8031,688,71,814
16,8032,604,71,814
17,8033,563,71,814
18,8034,560,71,814
19,8035,571,71,814
20,8036,550,71,814
21,8037,560,71,814
22,8038,527,71,814
23,8039,657,71,814
24,8040,1023,71,794
25,8041,1023,71,794
26,8042,1023,71,794
27,8043,1023,71,794
28,8044,914,71,794
29,8045,404,71,794
30,8046,456,71,794
31,8047,604,71,794
32,8048,591,71,794
33,8049,499,71,794
34,8050,447,71,794
35,8051,498,71,794
36,8052,536,71,794
37,8053,535,71,794
38,8054,503,71,794
39,8055,807,72,808
40,8056,1023,72,808
41,8057,1023,72,808
42,8058,1023,72,808
43,8059,1023,72,808
44,8060,483,72,808
45,8061,421,72,808
46,8062,481,72,808
47,8063,565,72,808
48,8064,509,72,808
49,8065,464,72,808
50,8066,452,72,808
51,8067,471,72,808
52,8068,463,72,808
53,8069,496,72,808
54,8070,461,72,808
55,8071,710,71,852
56,8072,1023,71,852
57,8073,1023,71,852
58,8074,1023,71,852
59,8075,1023,71,852
60,8076,828,71,852
61,8077,296,71,852
62,8078,372,71,852
63,8079,527,71,852
64,8080,488,71,852
65,8081,433,71,852
66,8082,429,71,852
67,8083,456,71,852
68,8084,503,71,852
69,8085,476,71,852
70,8086,509,71,852
71,8087,415,71,852
72,8088,834,71,880
73,8089,1023,71,880
74,8090,1023,71,880
75,8091,1023,71,880
76,8092,1023,71,880
77,8093,475,71,880
78,8094,334,71,880
79,8095,539,71,880
80,8096,566,71,880
81,8097,493,71,880
82,8098,427,71,880
83,8099,463,71,880
84,8100,481,71,880
85,8101,500,71,880
86,8102,487,71,880
87,8103,491,71,880
88,8104,712,71,866
89,8105,1023,71,866
90,8106,1023,71,866
91,8107,1023,71,866
92,8108,716,71,866
93,8109,272,71,866
94,8110,423,71,866
95,8111,627,71,866
96,8112,593,71,866
97,8113,476,71,866
98,8114,489,71,866
99,8115,468,71,866
100,8116,465,71,866
101,8117,503,71,866
102,8118,465,71,866
103,8119,469,71,866
104,8120,491,71,866
105,8121,1023,71,876
106,8122,1023,71,876
107,8123,1023,71,876
108,8124,1023,71,876
109,8125,1023,71,876
110,8126,470,71,876
111,8127,331,71,876
112,8128,528,71,876
113,8129,579,71,876
114,8130,484,71,876
115,8131,443,71,876
116,8132,455,71,876
117,8133,467,71,876
118,8134,483,71,876
119,8135,480,71,876
120,8136,490,71,876
121,8137,761,70,876
122,8138,1023,70,876
123,8139,1023,70,876
124,8140,1023,70,876
125,8141,1023,70,876
126,8142,740,70,876
127,8143,296,70,876
128,8144,460,70,876
129,8145,591,70,876
130,8146,524,70,876
131,8147,468,70,876
132,8148,472,70,876
133,8149,490,70,876
134,8150,504,70,876
135,8151,461,70,876
136,8152,461,70,876
137,8153,436,70,876
138,8154,752,70,900
139,8155,1023,70,900
140,8156,1023,70,900
141,8157,1023,70,900
142,8158,1023,70,900
143,8159,489,70,900
144,8160,349,70,900
145,8161,540,70,900
146,8162,620,70,900
147,8163,511,70,900
148,8164,469,70,900
149,8165,484,70,900
150,8166,508,70,900
151,8167,511,70,900
152,8168,493,70,900
153,8169,548,70,900
154,8170,415,70,900
155,8171,845,70,894
156,8172,1023,70,894
157,8173,1023,70,894
158,8174,1023,70,894
159,8175,1023,70,894
160,8176,414,70,894
161,8177,446,70,894
162,8178,596,70,894
163,8179,619,70,894
164,8180,488,70,894
