num1,num2,data,bpm,ibi
1,253091,920,133,2136
2,13888,693,196,252
3,253092,908,133,2136
4,13889,703,188,476
5,13890,688,188,476
6,253093,895,133,2136
7,13891,679,188,476
8,253094,850,133,2136
9,13892,687,188,476
10,253095,816,133,2136
11,253096,812,133,2136
12,13894,683,188,476
13,253097,780,133,2136
14,13895,687,190,286
15,13896,672,190,286
16,253098,747,133,2136
17,13897,700,190,286
18,253099,727,133,2136
19,13898,692,190,286
20,253100,684,133,2136
21,13899,683,190,286
22,253101,655,133,2136
23,13900,684,190,286
24,253102,595,133,2136
25,13901,660,190,252
26,253103,529,133,2136
27,13902,663,190,252
28,13903,683,190,252
29,253104,407,133,2136
30,13904,684,190,252
31,253105,222,133,2136
32,13905,665,190,252
33,253106,134,133,2136
34,13906,663,190,252
35,253107,356,133,2136
36,13907,665,190,290
37,13908,660,190,290
38,253109,586,108,1332
39,13909,666,190,290
40,253110,616,108,1332
41,13910,667,190,290
42,13911,680,190,290
43,253111,641,108,1332
44,13912,662,190,252
45,253112,658,108,1332
46,13913,660,190,252
47,253113,683,108,1332
48,13914,645,190,252
49,253114,708,108,1332
50,13915,620,190,252
51,253115,710,108,1332
52,13916,574,190,252
53,253116,718,108,1332
54,253117,709,108,1332
55,13918,477,190,252
56,13919,535,190,252
57,253118,709,108,1332
58,13920,622,190,252
59,253119,724,108,1332
60,13921,656,190,252
61,253120,716,108,1332
62,13922,668,185,520
63,253121,719,108,1332
64,13923,676,185,520
65,253122,736,108,1332
66,13924,693,185,520
67,253123,691,108,800
68,13925,716,185,520
69,253124,732,108,800
70,13926,684,185,520
71,253125,760,108,800
72,13927,699,185,520
73,253126,737,108,800
74,13928,690,185,314
75,253127,740,108,800
76,13929,683,185,314
77,253128,750,108,800
78,13930,678,185,314
79,253129,751,108,800
80,13931,690,185,314
81,253130,734,108,800
82,13932,694,185,314
83,253131,700,108,800
84,13933,691,185,314
85,13934,693,185,314
86,253132,684,108,800
87,13935,684,185,314
88,253133,677,93,612
89,13936,672,185,314
90,253134,656,93,612
91,13937,702,185,314
92,253135,711,93,612
93,13938,717,185,314
94,253136,712,93,612
95,13939,707,185,314
96,253137,687,93,612
97,13940,727,185,314
98,253138,663,93,612
99,13941,713,185,314
100,253139,676,93,612
101,13942,702,185,314
102,253140,657,91,380
103,13943,686,185,314
104,253141,723,91,380
105,253142,686,91,380
106,13945,714,185,314
107,253143,674,91,380
108,13946,674,185,314
109,253144,697,91,380
110,13947,704,185,314
111,253145,673,91,254
112,13948,715,185,314
113,253146,670,91,254
114,13949,706,185,314
115,253147,739,91,254
116,13950,705,185,314
117,253148,754,91,254
118,13951,709,185,314
119,253149,701,91,254
120,13952,731,185,314
121,253150,612,91,252
122,13953,702,185,314
123,253151,647,91,252
124,13954,684,185,314
125,253152,654,91,252
126,13955,710,185,314
127,253153,672,91,252
128,13956,692,185,314
129,253154,653,91,252
130,13957,686,185,314
131,253155,672,91,252
132,13958,724,185,314
133,253156,668,91,252
134,13959,682,185,314
135,253157,681,91,252
136,13960,643,185,314
137,253158,693,91,252
138,13961,661,185,314
139,253159,697,91,252
140,13962,653,127,1752
141,253160,700,91,252
142,13963,678,127,1752
143,253161,676,91,516
144,13964,696,127,1752
145,253162,690,91,516
146,13965,675,127,1752
147,253163,715,91,516
148,13966,673,127,1752
149,253164,705,91,516
150,13967,676,127,1752
151,253165,739,91,516
152,13968,694,127,1752
153,253166,711,91,516
154,13969,700,127,1752
155,253167,700,87,322
156,13970,696,127,1752
157,253168,621,87,322
158,13971,728,127,1752
159,253169,716,87,322
160,13972,689,127,1752
161,253170,837,87,322
162,13973,668,127,1752
163,253171,762,87,322
164,13974,692,127,1752
165,253172,710,87,252
166,13975,685,127,1752
167,253173,669,87,252
168,13976,713,127,1752
169,253174,680,87,252
170,13977,674,127,1752
171,253175,700,87,252
172,13978,761,127,1752
173,253176,748,87,252
174,13979,952,127,1752
175,253177,721,87,252
176,13980,1023,127,1752
177,253178,700,87,252
178,13981,523,127,1752
179,253179,691,87,252
180,13982,0,127,1752
181,253180,713,87,252
182,13983,361,127,1752
183,253181,708,87,252
184,253182,695,87,252
185,13984,808,127,1052
186,253183,702,87,252
187,13985,916,127,1052
188,253184,701,87,252
189,13986,787,127,1052
190,253185,712,87,252
191,13987,713,127,1052
192,253186,709,87,252
193,13988,608,127,1052
194,253187,730,87,252
195,13989,652,127,1052
196,253188,721,87,252
197,253189,713,87,252
198,13990,748,127,1052
199,253190,735,87,252
200,13992,984,127,1052
201,253193,722,87,252
202,13994,809,127,1052
203,253194,733,87,252
204,13995,767,127,1052
205,253195,735,87,252
206,253196,701,87,252
207,13996,739,127,1052
208,253197,698,87,252
209,13997,745,127,1052
210,253198,716,87,252
211,13998,723,127,1052
212,253199,702,87,252
213,13999,705,127,1052
214,14000,696,127,1052
215,253201,715,87,252
216,14001,693,127,1052
217,253202,704,87,252
218,253203,701,87,252
219,14002,694,127,1052
220,253204,704,87,252
221,14003,681,127,1052
222,253205,725,87,252
223,14004,692,127,1052
224,253206,722,87,252
225,14005,702,127,1052
226,253207,700,87,252
227,14006,708,127,1052
228,253208,706,87,252
229,14007,726,127,1052
230,253209,708,87,252
231,253210,709,87,252
232,14008,689,127,1052
233,14009,695,127,1052
234,14010,716,127,1052
235,14011,700,127,1052
236,14012,694,127,1052
237,253216,400,87,1898
238,14013,674,127,1052
239,14014,686,127,1052
240,253218,401,87,1898
241,14015,714,127,1052
242,253219,867,87,1898
243,14016,715,127,1052
244,253220,852,87,1898
245,14017,794,127,1052
246,253221,740,87,1898
247,14018,916,127,1876
248,253222,648,87,1898
249,14019,1023,127,1876
250,253223,711,87,1898
251,14020,550,127,1876
252,253224,737,87,1898
253,14021,690,127,1876
254,253225,718,87,1898
255,14022,771,127,1876
256,253226,731,87,1898
257,14023,696,127,1876
258,253227,708,87,1898
259,14024,684,127,1876
260,253228,723,87,1898
261,14025,610,127,1876
262,253229,729,87,1898
263,14026,576,127,1876
264,14027,657,127,1876
265,253230,724,87,1898
266,14028,1023,127,1876
267,253231,728,87,1898
268,14029,1023,127,1876
269,253232,740,87,1898
270,14030,644,127,1876
271,253233,735,87,1898
272,14031,444,127,1876
273,253234,727,87,1898
274,14032,845,127,1876
275,253235,725,87,1898
276,14033,1023,127,1876
277,253236,724,87,1898
278,14034,701,127,1876
279,253237,716,87,1898
280,14035,628,127,1876
281,253238,780,87,1898
282,14036,680,127,1876
283,253239,748,87,1898
284,14037,696,127,1876
285,253240,746,87,1898
286,14038,716,127,1876
287,253241,738,87,1898
288,14039,720,127,1876
289,253242,767,87,1898
290,14040,700,127,1876
291,253243,744,87,1898
292,14041,696,127,1876
