num1,num2,data,bpm,ibi
1,168930,713,116,476
2,168931,749,116,476
3,168932,732,116,286
4,168933,678,116,286
5,168934,696,116,286
6,168935,712,116,286
7,168936,730,116,286
8,168937,722,120,252
9,168938,692,120,252
10,168939,709,120,252
11,168940,745,120,252
12,168941,728,120,252
13,168942,703,120,252
14,168943,700,120,252
15,168944,673,120,298
16,168945,732,120,298
17,168946,700,120,298
18,168947,750,120,298
19,168948,669,120,298
20,168949,755,120,256
21,168950,734,120,256
22,168951,704,120,256
23,168952,715,120,256
24,168953,705,120,256
25,168954,704,140,252
26,168955,699,140,252
27,168956,692,140,252
28,168957,743,140,252
29,168958,747,140,252
30,168959,696,142,252
31,168960,709,142,252
32,168961,707,142,252
33,168962,692,142,252
34,168963,732,142,252
35,168964,716,142,252
36,168965,779,142,252
37,168966,695,142,252
38,168967,765,142,252
39,168968,688,142,252
40,168969,735,142,252
41,168970,736,142,252
42,168971,713,142,252
43,168972,744,142,252
44,168973,672,142,252
45,168974,772,142,252
46,168975,751,212,252
47,168976,695,212,252
48,168977,700,212,252
49,168978,704,212,252
50,168979,730,212,252
51,168980,716,230,252
52,168981,727,230,252
53,168982,692,230,252
54,168983,700,230,252
55,168984,708,230,252
56,168985,716,230,252
57,168986,692,230,252
58,168987,677,230,252
59,168988,704,230,252
60,168989,712,230,252
61,168990,716,230,252
62,168991,701,232,268
63,168992,699,232,268
64,168993,706,232,268
65,168994,713,232,268
66,168995,699,232,268
67,168996,717,232,268
