num1,num2,data,bpm,ibi
1,191674,733,65,364
2,191675,699,65,364
3,191676,626,65,364
4,191677,733,65,364
5,191678,732,65,364
6,191679,707,65,364
7,191680,707,65,364
8,191681,748,65,364
9,191682,736,65,364
10,191683,686,65,364
11,191684,707,65,364
12,191685,664,65,364
13,191686,700,65,364
14,191687,642,65,364
15,191688,665,65,364
16,191689,667,65,364
17,191690,711,65,364
18,191691,675,65,364
19,191692,736,65,364
20,191693,702,65,364
21,191694,719,65,364
22,191695,734,65,364
23,191696,772,62,1576
24,191697,756,62,1576
25,191698,810,62,1576
26,191699,830,62,1576
27,191700,816,62,1576
28,191701,857,62,1576
29,191702,787,62,1576
30,191703,821,62,1576
31,191704,777,62,1576
32,191705,796,62,1576
33,191706,798,62,1576
34,191707,815,62,1576
35,191708,744,62,1576
36,191709,752,62,1576
37,191710,764,62,1576
38,191711,745,62,1576
39,191712,757,62,1576
40,191713,788,62,1576
41,191714,736,62,1576
42,191715,743,62,1576
43,191716,725,64,946
44,191717,701,64,946
45,191718,711,64,946
46,191719,709,64,946
47,191720,716,64,946
48,191721,700,64,946
49,191722,749,64,946
50,191723,744,64,946
51,191724,812,64,946
52,191725,880,64,946
53,191726,845,64,946
54,191727,778,64,946
55,191728,772,66,588
56,191729,701,66,588
57,191730,713,66,588
58,191731,738,66,588
59,191732,1023,66,588
60,191733,1023,66,588
61,191734,1023,66,588
62,191735,1023,66,588
63,191736,809,66,352
64,191737,0,66,352
65,191738,1023,66,352
66,191739,1023,66,352
67,191740,366,66,352
68,191741,0,66,352
69,191742,0,66,352
70,191743,0,66,352
71,191744,0,66,352
72,191745,0,66,352
73,191746,0,66,352
74,191747,0,66,352
75,191748,0,66,352
76,191749,0,66,352
77,191750,0,66,352
78,191751,0,66,352
79,191752,0,66,352
80,191753,0,66,352
81,191754,0,66,352
82,191755,0,66,352
83,191756,0,66,352
84,191757,0,66,352
85,191758,0,66,352
86,191759,191,66,352
87,191760,628,66,352
88,191761,946,75,1400
89,191762,623,75,1400
90,191763,1023,75,1400
91,191764,1023,75,1400
92,191765,1023,75,1400
93,191766,0,75,1400
94,191767,0,75,1400
95,191768,0,75,1400
96,191769,0,75,1400
97,191770,0,75,1400
98,191771,0,75,1400
99,191772,0,75,1400
100,191773,0,75,1400
101,191774,0,75,1400
102,191775,0,75,1400
103,191776,683,74,842
104,191777,817,74,842
105,191778,198,74,842
106,191779,194,74,842
107,191780,393,74,842
108,191781,493,74,842
109,191782,423,74,842
110,191783,416,74,842
111,191784,514,74,842
112,191785,1023,73,506
113,191786,1023,73,506
114,191787,1023,73,506
115,191788,715,73,506
116,191789,341,73,506
117,191790,624,73,506
118,191791,683,73,506
119,191792,590,73,506
120,191793,596,73,506
121,191794,802,73,506
122,191795,1023,73,502
123,191796,1023,73,502
124,191797,743,73,502
125,191798,0,73,502
126,191799,387,73,502
127,191800,574,73,502
128,191801,502,73,502
129,191802,576,73,502
