num1,num2,data,bpm,ibi
1,60903,567,151,556
2,60904,501,151,556
3,60906,543,151,556
4,60907,1023,151,604
5,60908,1023,151,604
6,60909,1023,151,604
7,60910,685,151,604
8,60911,249,151,604
9,60912,516,151,604
10,60913,653,151,604
11,60914,526,151,604
12,60915,452,151,604
13,60916,475,151,604
14,60917,517,151,604
15,60918,751,129,638
16,60919,1023,129,638
17,60920,1023,129,638
18,60921,644,129,638
19,60922,228,129,638
20,60923,472,129,638
21,60924,679,129,638
22,60925,589,129,638
23,60926,516,129,638
24,60927,508,129,638
25,60928,572,129,638
26,60929,621,129,638
27,60930,1023,129,630
28,60931,1023,129,630
29,60932,1023,129,630
30,60933,191,129,630
31,60934,268,129,630
32,60935,664,129,630
33,60936,708,129,630
34,60937,607,129,630
35,60938,582,129,630
36,60939,562,129,630
37,60940,796,119,590
38,60941,1023,119,590
39,60942,1023,119,590
40,60943,1023,119,590
41,60944,235,119,590
42,60945,378,119,590
43,60946,652,119,590
44,60947,597,119,590
45,60948,517,119,590
46,60949,511,119,590
47,60950,537,119,590
48,60951,1023,112,598
49,60952,1023,112,598
50,60953,1023,112,598
51,60954,1005,112,598
52,60955,161,112,598
53,60956,312,112,598
54,60957,551,112,598
55,60958,571,112,598
56,60959,521,112,598
57,60960,524,112,598
58,60961,592,112,598
59,60962,1023,112,600
60,60963,1023,112,600
61,60964,1023,112,600
62,60965,661,112,600
63,60966,249,112,600
64,60967,516,112,600
65,60968,659,112,600
66,60969,567,112,600
67,60970,464,112,600
68,60971,448,112,600
69,60972,536,112,600
70,60973,1023,112,612
71,60974,1023,112,612
72,60975,1023,112,612
73,60976,366,112,612
74,60977,344,112,612
75,60978,575,112,612
76,60979,547,112,612
77,60980,464,112,612
78,60981,469,112,612
79,60982,535,112,612
80,60983,601,112,612
81,60984,1023,112,614
82,60985,1023,112,614
83,60986,1023,112,614
84,60987,540,112,614
85,60988,302,112,614
86,60989,597,112,614
87,60990,645,112,614
88,60991,558,112,614
89,60992,479,112,614
90,60993,505,112,614
91,60994,552,112,614
92,60995,784,99,626
93,60996,1023,99,626
94,60997,1023,99,626
95,60998,845,99,626
96,60999,172,99,626
97,61000,443,99,626
98,61001,627,99,626
99,61002,560,99,626
100,61003,524,99,626
101,61004,543,99,626
102,61005,570,99,626
103,61006,757,98,614
104,61007,1023,98,614
105,61008,1023,98,614
106,61009,592,98,614
107,61010,317,98,614
108,61011,584,98,614
109,61012,736,98,614
110,61013,644,98,614
111,61014,511,98,614
112,61015,476,98,614
113,61016,530,98,614
114,61017,855,98,604
115,61018,1023,98,604
116,61019,912,98,604
117,61020,337,98,604
118,61021,344,98,604
119,61022,623,98,604
120,61023,783,98,604
121,61024,696,98,362
122,61025,552,98,362
123,61026,508,98,362
124,61027,999,98,362
125,61028,1023,109,252
126,61029,1023,109,252
127,61030,434,109,252
128,61031,236,109,252
129,61032,528,109,252
130,61033,575,109,252
131,61034,457,109,252
132,61035,443,109,252
133,61036,555,109,252
134,61037,1023,109,484
135,61038,1023,109,484
136,61039,1023,109,484
137,61040,1023,109,484
138,61041,931,109,484
139,61042,432,109,484
140,61043,533,109,484
141,61044,592,109,484
142,61045,536,109,484
143,61046,604,109,484
144,61047,1023,109,536
145,61048,1023,109,536
146,61049,1023,109,536
147,61050,1023,109,536
148,61051,726,109,536
149,61052,432,109,536
150,61053,501,109,536
151,61054,521,109,536
152,61055,488,109,536
153,61056,428,109,536
154,21247,755,234,252
155,21248,39,234,252
156,21249,1023,234,252
157,21266,696,235,252
158,21267,700,235,252
159,21268,711,235,252
160,21269,723,235,252
161,21270,720,235,252
162,21271,698,235,252
163,21272,703,235,252
164,21273,724,235,252
165,21274,701,235,252
166,21275,697,235,252
167,21276,724,235,252
168,21277,677,235,252
169,21278,695,235,252
170,21279,672,235,252
171,21280,682,235,252
172,21281,702,235,252
173,21282,690,235,252
174,21283,688,235,252
175,21284,692,235,252
176,21285,702,235,252
177,21286,687,235,252
178,21287,677,235,252
179,21288,677,235,252
180,21289,674,178,1072
181,21290,676,178,1072
182,21291,672,178,1072
183,21292,676,178,1072
184,21293,683,178,1072
185,21294,687,178,1072
186,21295,700,178,1072
187,21296,698,178,1072
188,21297,699,178,1072
189,21298,683,178,1072
190,21299,680,178,1072
191,21300,692,178,1072
192,21301,684,178,644
193,21302,677,178,644
194,21303,673,178,644
195,21304,680,178,644
196,21305,693,178,644
197,21306,690,178,644
198,21307,684,178,644
199,21308,685,154,386
200,21309,677,154,386
201,21310,668,154,386
202,21311,688,154,386
203,21312,688,154,386
204,21313,685,154,386
205,21314,680,154,386
206,21315,682,154,298
207,21316,698,154,298
208,21317,682,154,298
209,21318,683,154,298
210,21319,692,154,298
211,21320,683,154,256
212,21321,682,154,256
213,21322,699,154,256
214,21323,693,154,256
215,21324,664,154,256
216,21325,674,153,254
217,21326,692,153,254
218,21327,696,153,254
219,21328,674,153,254
220,21329,667,153,254
