num1,num2,data,bpm,ibi
1,40704,718,99,418
2,40705,63,99,418
3,40706,362,99,418
4,40707,772,117,326
5,40708,835,117,326
6,40709,795,117,326
7,40710,772,117,326
8,40711,731,117,326
9,40712,676,117,326
10,40713,702,117,302
11,40714,918,117,302
12,40715,789,117,302
13,40716,674,117,302
14,40717,639,117,302
15,40718,671,117,302
16,40719,687,117,302
17,40720,695,117,302
18,40721,733,117,302
19,40722,741,117,302
20,40723,778,117,302
21,40724,667,117,302
22,40725,704,117,302
23,40726,779,117,302
24,40727,755,117,302
25,40728,709,117,302
26,40729,687,117,302
27,40730,715,117,302
28,40731,728,117,302
29,40732,692,117,302
30,40733,726,117,302
31,40734,716,117,302
32,40735,719,117,302
33,40736,776,117,302
34,40737,711,117,302
35,40738,748,117,302
36,40739,626,117,302
37,40740,629,117,302
38,40741,788,117,302
39,40742,816,117,302
40,40743,756,117,302
41,40744,673,117,302
42,40745,684,117,302
43,40746,719,117,302
44,40747,745,117,302
45,40748,691,117,302
46,40749,624,117,302
47,40750,610,117,302
48,40751,672,117,302
49,40752,715,117,302
50,40753,704,117,302
51,40754,666,117,302
52,40755,669,117,302
53,40756,668,117,302
54,40757,660,117,302
55,40758,662,117,302
56,40759,660,117,600
57,40760,669,117,600
58,40761,675,117,600
59,40762,650,117,600
60,40763,668,117,600
61,40764,607,117,600
62,40765,596,117,600
63,40766,607,117,600
64,40767,658,117,600
65,40768,687,117,600
66,40769,701,117,600
67,40770,676,117,600
68,40771,665,117,600
69,40772,620,117,600
70,40773,698,117,600
71,40774,694,117,600
72,40775,681,117,600
73,40776,686,117,600
74,40777,685,117,600
75,40778,684,117,600
76,40779,704,117,600
77,40780,728,117,600
78,40781,703,117,600
79,40782,718,117,600
80,40783,737,117,1142
81,40784,764,117,1142
82,40785,755,117,1142
83,40786,756,117,1142
84,40787,701,117,1142
85,40788,692,117,1142
86,40789,700,117,1142
87,40790,727,117,1142
88,40791,692,117,1142
89,40792,692,117,1142
90,40793,704,117,1142
91,40794,707,117,1142
92,40795,703,117,1142
93,40796,715,117,1142
94,40797,719,117,1142
95,80567,691,176,252
96,80568,0,176,252
97,80569,459,176,252
98,80571,734,209,304
99,80572,740,209,304
100,80573,704,209,304
101,80574,725,209,304
102,80575,695,209,252
103,80576,705,209,252
104,80577,703,209,252
105,80578,798,209,252
106,80579,760,209,252
107,80580,683,209,252
108,80581,692,209,252
109,80582,735,209,252
110,80583,748,209,252
111,80584,737,209,252
112,80585,739,209,252
113,80586,707,209,252
114,80587,704,209,252
115,80588,676,212,496
116,80589,695,212,496
117,80590,725,212,496
118,80591,740,212,496
119,80592,724,212,496
120,80593,698,212,496
121,80594,685,212,298
122,80595,726,212,298
123,80596,732,212,298
124,80597,729,212,298
125,80598,708,209,252
126,80600,709,209,252
127,80601,734,209,252
128,80602,720,209,252
129,80603,704,209,252
130,80604,692,209,252
131,80605,709,209,252
132,80606,760,209,252
133,80607,704,209,252
134,80608,670,209,252
135,80609,718,209,252
136,80610,693,209,252
137,80611,736,209,252
138,80612,705,209,252
139,80613,666,209,252
140,80614,684,209,252
141,80615,701,209,252
142,80616,717,209,252
143,80617,717,209,252
144,80618,688,209,252
145,80619,692,209,252
146,80620,733,209,252
147,80621,724,209,252
148,80622,716,209,252
149,80623,706,212,270
150,80624,688,212,270
151,80625,702,212,270
152,80626,723,212,270
153,80627,710,212,270
154,80628,704,212,252
155,80629,689,212,252
156,80630,719,212,252
157,80631,725,212,252
158,80632,721,212,252
159,80633,728,212,252
160,80634,720,212,252
161,80635,716,212,252
162,80636,744,212,252
163,80637,727,212,252
164,80638,707,212,252
165,80639,684,212,256
166,80640,703,212,256
167,80641,711,212,256
168,80642,705,212,256
169,80643,734,212,256
170,80644,716,236,252
171,80645,674,236,252
172,80646,700,236,252
173,80647,724,236,252
174,80648,699,236,252
175,80649,724,236,252
176,80650,696,236,252
177,80651,663,236,252
178,80652,708,236,252
179,80653,795,236,252
180,80654,722,236,252
181,80655,700,236,252
182,80656,692,236,252
183,80657,697,236,252
184,80658,715,236,252
185,80659,716,236,252
186,80660,697,236,252
187,80661,698,236,252
188,80662,709,236,252
189,80663,720,222,410
190,80664,699,222,410
191,80665,708,222,410
192,80666,711,222,410
193,80667,706,222,410
194,80668,729,222,410
195,80669,696,222,252
196,80670,716,222,252
197,80671,724,222,252
198,80672,696,222,252
199,80673,778,222,252
200,243,1023,118,338
201,244,1023,118,338
202,245,1023,118,338
203,246,1023,118,338
204,247,1023,118,338
205,248,1023,118,338
206,249,1023,118,338
207,250,1023,118,338
208,251,1023,118,338
209,252,1023,118,338
210,253,1023,118,338
211,254,1023,118,338
212,255,1023,118,338
213,256,1023,118,338
214,257,1023,118,338
215,258,1023,118,338
216,259,1023,118,338
217,260,1023,118,338
218,261,1023,118,338
219,262,1023,118,338
220,263,1023,118,338
221,264,1023,118,338
222,265,1023,118,338
223,266,1023,118,338
224,267,1023,118,338
225,268,1023,118,338
226,269,1023,118,338
227,270,1023,118,338
228,271,1023,118,338
229,272,1023,118,338
230,273,1023,118,338
231,274,1023,118,338
232,275,1023,118,338
233,276,1023,118,338
234,277,1023,118,338
235,278,1023,118,338
236,279,1023,118,338
237,280,1023,118,338
238,281,1023,118,338
239,282,1023,118,338
240,283,1023,118,338
241,284,1023,118,338
242,285,1023,118,600
243,286,1023,118,600
244,287,1023,118,600
245,288,1023,118,600
246,289,1023,118,600
247,290,1023,118,600
248,291,1023,118,600
249,292,1023,118,600
250,293,1023,118,600
251,294,1023,118,600
252,295,1023,118,362
253,296,1023,118,362
254,297,1023,118,362
255,298,1023,118,362
256,299,1023,118,362
257,300,1023,118,362
258,301,1023,118,362
259,302,1023,118,362
260,303,1023,118,362
261,304,1023,118,362
262,305,1023,118,362
263,306,1023,118,362
264,307,1023,118,362
265,308,1023,118,362
266,309,1023,118,362
267,310,1023,118,362
268,311,1023,118,362
269,312,1023,118,362
270,313,1023,118,362
271,314,1023,118,362
272,315,1023,118,362
273,316,1023,118,362
274,317,1023,118,362
275,318,1023,118,362
276,319,1023,118,362
277,320,1023,118,362
278,321,913,118,362
279,322,413,118,362
280,323,428,118,362
281,324,620,118,362
282,325,737,118,362
283,326,749,50,1190
284,327,623,50,1190
285,328,654,50,1190
286,329,687,50,1190
287,330,726,50,1190
288,331,788,50,1190
289,332,716,50,1190
290,333,657,50,1190
291,334,647,50,1190
292,335,719,50,1190
293,336,852,50,1190
294,337,951,50,1190
295,338,974,50,1190
296,339,816,52,716
297,340,764,52,716
298,341,837,52,716
299,342,838,52,716
300,343,785,52,716
301,344,758,52,716
302,345,714,52,716
303,346,706,52,716
304,347,655,52,716
305,348,654,52,716
306,349,622,52,716
307,350,551,52,716
308,351,567,52,716
309,352,580,52,716
310,353,664,52,716
311,354,698,52,716
312,355,749,52,716
313,356,743,52,916
314,357,716,52,916
315,358,716,52,916
316,359,762,52,916
317,360,749,52,916
318,361,778,52,916
319,362,806,52,916
320,363,892,52,916
321,364,918,52,916
322,365,848,52,916
323,366,726,52,550
324,367,676,52,550
325,368,796,52,550
326,369,864,52,550
327,370,826,52,550
328,371,802,52,550
329,372,758,52,550
330,373,739,52,550
331,374,729,52,550
332,375,737,52,550
333,376,760,52,550
334,377,771,52,550
335,378,756,52,550
336,379,761,52,550
337,380,725,52,550
338,381,708,52,550
339,382,748,52,550
340,383,758,52,550
341,384,692,52,550
342,385,680,52,550
343,386,727,52,550
344,387,734,52,550
345,388,744,52,550
346,389,734,52,550
347,390,756,52,550
348,391,807,52,550
349,392,815,52,550
350,393,754,52,550
351,394,739,52,550
352,395,761,52,550
353,396,739,52,550
354,397,738,52,550
355,398,674,52,550
356,399,652,52,550
357,400,686,52,550
358,401,722,52,550
359,402,735,52,550
360,403,715,52,550
361,404,715,52,550
362,405,710,52,550
363,406,698,52,550
364,407,718,52,550
365,408,716,52,550
366,409,661,52,550
367,410,700,52,550
368,411,706,52,550
369,412,720,52,550
370,413,713,52,550
371,414,731,52,550
372,415,748,52,550
373,416,729,52,600
374,417,720,52,600
375,418,697,52,600
376,419,720,52,600
377,420,713,52,600
378,421,693,52,600
379,422,710,52,600
380,423,720,52,600
381,424,709,52,600
382,425,708,52,600
383,426,707,52,600
384,427,672,52,600
385,428,708,52,600
386,429,714,52,600
387,430,716,52,600
388,431,697,52,600
389,432,699,52,600
390,433,717,52,600
391,434,695,52,600
392,435,741,52,932
393,436,729,52,932
394,437,674,52,932
395,438,687,52,932
396,439,735,52,932
397,440,669,52,932
398,441,685,52,932
399,442,708,52,932
400,443,697,52,932
401,444,688,52,932
402,445,697,52,932
403,446,705,52,932
404,447,682,107,560
405,448,732,107,560
406,449,746,107,560
407,450,682,107,560
408,451,696,107,560
409,452,699,107,560
410,453,729,107,560
411,454,731,111,338
412,455,670,111,338
413,456,684,111,338
414,457,684,111,338
415,458,683,111,338
416,459,637,111,338
417,460,651,111,338
418,461,647,111,338
419,462,635,111,338
420,463,682,111,338
421,464,679,111,338
422,465,673,111,338
423,466,678,111,338
424,467,690,111,338
425,468,673,111,338
426,469,679,111,338
427,470,694,111,338
428,471,708,111,338
429,472,715,111,338
430,473,674,111,338
431,474,696,111,338
432,475,702,111,338
433,476,708,111,338
434,477,667,111,338
435,478,636,111,338
436,479,665,111,338
437,480,684,111,338
438,481,688,111,338
439,482,681,111,338
440,483,708,111,338
441,484,681,111,338
442,485,684,111,338
443,486,703,111,338
444,487,708,111,338
445,488,703,111,338
446,489,629,111,338
447,490,627,111,338
448,491,664,111,338
449,492,706,111,338
450,493,700,111,338
451,494,694,111,338
452,495,707,111,338
453,496,684,111,338
454,497,734,87,2048
455,498,732,87,2048
456,499,748,87,2048
457,500,757,87,2048
458,501,828,87,2048
459,502,798,87,2048
460,503,749,87,2048
461,504,732,87,2048
462,505,715,87,2048
463,506,760,87,2048
464,507,740,87,2048
465,508,732,87,2048
466,509,673,87,2048
467,510,688,87,2048
468,511,684,87,2048
469,512,713,87,2048
470,513,701,87,2048
471,514,697,87,2048
472,515,747,87,2048
473,516,723,87,2048
474,517,703,87,2048
475,518,748,87,2048
476,519,752,87,2048
477,520,747,87,2048
478,521,708,87,2048
479,522,696,87,2048
480,523,677,79,1228
481,524,739,79,1228
482,525,720,79,1228
483,526,772,79,1228
484,527,705,79,1228
485,528,680,79,1228
486,529,767,79,1228
487,530,705,79,1228
488,531,696,79,1228
489,532,690,79,1228
490,533,753,79,1228
491,534,721,79,1228
492,535,708,79,1228
493,536,694,79,1228
494,537,722,79,1228
495,538,779,79,1228
496,539,725,79,1228
497,540,735,79,1228
498,541,732,79,1228
499,542,676,79,1228
500,543,701,79,1228
501,544,729,75,994
502,545,704,75,994
503,546,679,75,994
504,547,705,75,994
505,548,705,75,994
506,549,810,75,994
507,550,753,75,994
508,551,775,75,994
509,552,699,75,994
510,553,707,75,994
511,554,710,75,994
512,555,704,75,994
513,556,629,75,994
514,557,649,75,994
515,558,711,75,994
516,559,725,75,680
517,560,672,75,680
518,561,675,75,680
519,562,676,75,680
520,563,695,75,680
521,564,694,75,680
522,565,653,75,680
523,566,655,75,680
524,567,679,75,680
525,568,686,75,680
526,569,685,75,680
527,570,706,75,680
528,571,691,75,680
529,572,665,75,680
530,573,672,75,680
531,574,683,75,680
532,575,684,75,680
533,576,698,75,680
534,577,731,75,850
535,578,669,75,850
536,579,700,75,850
537,580,684,75,850
538,581,719,75,850
539,582,717,75,850
540,583,700,75,850
541,621,789,72,512
542,622,75,72,512
543,623,357,72,512
544,624,773,72,512
545,625,844,62,1826
546,626,681,62,1826
547,627,695,62,1826
548,628,750,62,1826
549,629,681,62,1826
550,630,714,62,1826
551,631,686,62,1826
552,632,716,62,1826
553,633,705,62,1826
554,634,737,62,1826
555,635,715,62,1826
556,636,711,62,1826
557,637,700,62,1826
558,638,684,62,1826
559,639,724,62,1826
560,640,695,62,1826
