num1,num2,data,bpm,ibi
1,148115,271,70,524
2,148116,427,70,524
3,148117,697,70,328
4,148119,517,70,328
5,148120,1023,70,328
6,148121,1023,102,252
7,148122,1023,102,252
8,148123,1023,102,252
9,148124,1023,102,252
10,148125,479,102,252
11,148126,383,102,252
12,148127,491,102,252
13,148128,471,102,252
14,148129,405,102,252
15,148130,1023,102,478
16,148131,1023,102,478
17,148133,1023,102,478
18,148134,592,102,478
19,148135,124,102,478
20,148136,306,102,478
21,148137,562,102,478
22,148138,633,102,478
23,148139,1023,102,502
24,148140,1023,102,502
25,148141,1023,102,502
26,148142,1023,102,502
27,148143,474,102,502
28,148144,148,102,502
29,148145,311,102,502
30,148146,439,102,502
31,148147,460,102,502
32,148148,1023,102,502
33,148149,1023,102,502
34,148150,1023,102,502
35,148151,1023,102,502
36,148152,423,102,502
37,148153,312,102,502
38,148155,344,102,502
39,148156,379,102,502
40,148157,1023,102,508
41,148158,1023,102,508
42,148159,1023,102,508
43,148160,1023,102,508
44,148161,644,102,508
45,148162,100,102,508
46,148163,340,102,508
47,148164,440,102,508
48,148165,450,102,508
49,148166,570,102,508
50,148167,1023,102,538
51,148168,1023,102,538
52,148169,1023,102,538
53,148170,200,102,538
54,148171,152,102,538
55,148172,462,102,538
56,148173,482,102,538
57,148174,351,102,538
58,148175,388,102,538
59,148176,1023,102,526
60,148177,1023,102,526
61,148178,1023,102,526
62,148179,1023,102,526
63,148180,719,102,526
64,148181,253,102,526
65,148182,84,102,526
66,148183,114,102,526
67,148184,372,102,526
68,148185,650,102,526
69,148186,1023,102,532
70,148187,1023,102,532
71,148188,1023,102,532
72,148189,1023,102,532
73,148190,724,102,532
74,148191,421,102,532
75,148192,510,132,380
76,148193,556,132,380
77,148194,460,132,380
78,148195,593,132,380
79,148196,1023,132,380
80,148197,1023,132,252
81,148198,1023,132,252
82,148199,1023,132,252
83,148200,396,132,252
84,148201,297,132,252
85,148202,270,132,252
86,148203,120,132,252
87,148204,36,132,252
88,148205,472,132,252
89,148206,1023,132,492
90,148207,1023,132,492
91,148208,766,132,492
92,148209,0,132,492
93,148210,31,132,492
94,148245,947,132,488
95,148246,1023,132,488
96,148247,1023,132,488
97,148248,1023,132,488
98,148249,1023,132,488
99,148250,1023,132,488
100,148251,1023,132,488
101,148252,1023,132,488
102,148253,1023,132,488
103,148254,1023,132,488
104,148255,1023,132,488
105,148256,1023,132,488
106,148257,1023,132,488
107,148258,1023,132,488
108,148259,1023,132,488
109,148260,1023,132,488
110,148261,1023,132,488
111,148262,1023,132,488
112,148263,1023,132,488
113,148264,1023,132,488
114,148265,1023,132,488
115,148266,1023,132,488
116,148267,1023,132,488
117,59243,734,117,252
118,59244,283,117,252
119,59245,680,121,426
120,59247,540,121,426
121,59248,1023,121,426
122,59249,1023,121,426
123,59250,884,121,256
124,59251,736,121,256
125,59252,753,121,256
