num1,num2,data,bpm,ibi
1,33366,702,228,252
2,33367,98,228,252
3,33368,380,228,252
4,33369,760,195,690
5,33370,809,195,690
6,33371,697,195,690
7,33372,677,195,690
8,33373,736,195,690
9,33374,724,195,690
10,33375,740,195,690
11,33376,751,195,690
12,33377,777,195,416
13,33378,785,195,416
14,33379,866,195,416
15,33380,700,195,416
16,33381,613,195,416
17,33382,704,195,416
18,33383,739,195,416
19,33384,698,195,416
20,33385,668,195,416
21,33386,724,195,416
22,33387,729,195,416
23,33388,764,195,416
24,33389,698,195,416
25,33390,666,195,416
26,33391,668,195,416
27,33392,651,195,416
28,33393,608,195,416
29,33394,592,195,416
30,33395,624,195,416
31,33396,663,195,416
32,33397,693,195,416
33,33398,690,195,416
34,33399,692,195,416
35,33400,691,195,416
36,33401,679,195,416
37,33402,674,195,416
38,33403,665,195,416
39,33404,678,195,416
40,33405,854,195,416
41,33406,815,195,416
42,33407,511,195,416
43,33408,522,195,416
44,33409,624,195,416
45,33410,653,195,416
46,33411,647,195,416
47,33412,666,195,416
48,33413,649,195,416
49,33414,620,195,416
50,33415,686,116,2152
51,33416,726,116,2152
52,33417,748,116,2152
53,33418,741,116,2152
54,33419,693,116,2152
55,33420,681,116,2152
56,33421,703,116,2152
57,33422,696,116,2152
58,33423,716,116,2152
59,33424,741,116,2152
60,33425,737,116,2152
61,33426,696,116,2152
62,33427,659,116,2152
63,33428,667,116,2152
64,33429,704,116,2152
65,33430,688,116,2152
66,33431,684,116,2152
67,33432,665,116,2152
68,33433,656,116,2152
69,33434,662,116,2152
70,33435,697,116,2152
71,33436,695,116,2152
72,33437,712,116,2152
73,33438,673,116,2152
74,33439,674,116,2152
75,33440,628,97,1292
76,33441,718,97,1292
77,33442,693,97,1292
78,33443,687,97,1292
79,33444,652,97,1292
80,33445,660,97,1292
81,33446,667,97,1292
82,33447,688,97,1292
83,33448,692,97,1292
84,33449,693,97,1292
85,33450,720,97,1292
86,33451,700,97,1292
87,33452,698,97,1292
88,73511,471,233,260
89,73512,0,233,260
90,73513,769,233,260
91,73514,483,233,260
92,73515,635,231,290
93,73516,738,231,290
94,73517,735,231,290
95,73518,739,231,290
96,73519,730,231,290
97,73520,712,231,252
98,73521,704,231,252
99,73522,714,231,252
100,73523,711,231,252
101,73524,684,231,252
102,73525,698,231,252
103,73526,708,231,252
104,73527,729,231,252
105,73528,732,231,252
106,73529,723,231,252
107,73530,696,231,252
108,73531,705,231,252
109,73532,732,231,252
110,73533,679,231,252
111,73534,673,231,252
112,73535,704,231,252
113,73536,698,231,252
114,73537,740,231,252
115,73538,696,231,252
116,73539,689,231,252
117,73540,706,231,252
118,73541,703,231,252
119,73542,723,231,252
120,73543,741,231,252
121,73544,727,231,252
122,73545,702,231,252
123,73546,703,231,252
124,73547,736,231,252
125,73548,725,231,252
126,73549,727,231,252
127,73550,703,231,252
128,73551,715,231,252
129,73552,715,231,252
130,73553,720,231,252
131,73554,731,231,252
132,73555,734,231,252
133,73556,732,231,252
134,73557,736,231,252
135,73558,732,231,252
136,73559,741,231,252
137,73560,748,231,252
138,73561,723,231,252
139,73562,704,231,252
140,73563,695,231,252
141,73564,692,231,252
142,73565,702,231,252
143,73566,707,231,252
144,73567,706,231,600
145,73568,716,231,600
