num1,num2,data,bpm,ibi
1,221262,746,114,1184
2,221263,732,114,1184
3,221264,785,114,1184
4,221265,739,114,1184
5,221266,589,114,1184
6,221267,438,114,1184
7,221268,454,114,1184
8,221269,480,114,1184
9,221270,534,114,1184
10,221271,563,114,1184
11,221272,0,114,1184
12,221273,0,114,1184
13,221274,0,114,1184
14,221275,0,114,1184
15,221276,0,114,1184
16,221277,0,114,1184
17,221278,0,114,1184
18,221279,0,114,1184
19,221280,0,114,1184
20,221281,0,114,1184
21,221282,0,114,1184
22,221283,0,114,1184
23,221284,676,76,2054
24,221285,931,76,2054
25,221286,1023,76,2054
26,221287,1023,76,2054
27,221288,1023,76,2054
28,221289,1023,76,2054
29,221290,1023,76,2054
30,221291,1023,76,2054
31,221292,1023,76,2054
32,221293,1023,76,2054
33,221294,1023,76,2054
34,221295,1023,76,2054
35,221296,487,76,2054
36,221297,0,76,2054
37,221298,67,76,2054
38,221299,450,76,2054
39,221300,736,76,2054
40,221301,1023,76,2054
41,221302,1023,76,2054
42,221303,1023,76,2054
43,221304,1023,76,2054
44,221305,1023,76,2054
45,221306,1023,76,2054
46,221307,1023,76,1232
47,221308,490,76,1232
48,221309,397,76,1232
49,221310,477,76,1232
50,221311,311,76,1232
51,221312,203,76,1232
52,221313,376,76,1232
53,221314,460,76,1232
54,221315,229,76,1232
55,221316,0,76,1232
56,221317,127,76,1232
57,221318,1023,76,1232
58,221320,1023,76,740
59,221321,116,76,740
60,221322,0,76,740
61,221323,577,76,740
62,221324,1023,76,740
63,221325,1023,76,740
64,221326,1023,76,740
65,221327,853,76,740
66,221328,680,76,740
67,221330,700,76,740
68,221331,566,76,740
69,221332,445,76,740
70,221333,461,76,740
71,221334,460,76,740
72,221335,614,76,740
73,221336,845,76,740
74,221337,1023,76,930
75,221338,1023,76,930
76,221339,1023,76,930
77,221340,1023,76,930
78,221341,1023,76,930
79,221342,1023,76,930
80,221343,1023,76,930
81,221344,1023,76,930
82,221345,1023,76,930
