num1,num2,data,bpm,ibi
1,14828,754,161,752
2,14829,701,161,752
3,14830,677,161,752
4,14831,677,161,752
5,14832,744,161,752
6,14833,638,161,752
7,14834,638,161,752
8,14835,628,161,752
9,14836,670,161,752
10,14837,742,81,634
11,14838,859,81,634
12,14839,861,81,634
13,14840,803,81,634
14,14841,763,81,634
15,14842,762,81,634
16,14843,789,81,634
17,14844,871,81,634
18,14845,745,81,380
19,14846,686,81,380
20,14847,629,81,380
21,14848,620,81,380
22,14849,594,81,380
23,14850,593,81,380
24,14851,592,81,380
25,14852,620,81,380
26,14853,675,81,380
27,14854,723,81,380
28,14855,677,81,380
29,14856,736,81,380
30,14857,697,81,380
31,14859,696,81,380
32,14860,745,81,380
33,14861,694,81,380
34,14862,692,81,380
35,14863,657,81,380
36,14864,713,81,380
37,14865,704,81,380
38,14866,630,81,380
39,14867,585,81,380
40,14868,588,81,380
41,14869,735,81,380
42,14870,775,81,380
43,14871,890,81,1330
44,14872,956,81,1330
45,14873,900,81,1330
46,14874,873,81,1330
47,14875,773,81,1330
48,14876,708,81,1330
49,14877,713,81,1330
50,14878,792,81,1330
51,14879,883,81,1330
52,14880,1023,81,1330
53,14881,1023,81,1330
54,14882,886,81,1330
55,14883,793,81,1330
56,14884,756,81,1330
57,14885,830,81,1330
58,14886,889,81,1330
59,14887,741,81,1330
60,14888,658,81,1330
61,14889,492,81,1330
62,14890,513,81,1330
63,14891,603,81,1330
64,14892,700,81,1330
65,14893,639,81,1330
66,14894,601,81,1330
67,14895,582,81,1330
68,14896,696,81,1330
69,14897,726,81,1330
70,14898,670,81,1330
71,14899,722,81,1330
72,14900,681,81,1330
73,14901,692,81,1330
74,14902,689,81,1330
75,14903,680,81,1330
76,14904,664,81,1330
77,14905,664,81,1330
78,14906,707,81,1330
79,14907,680,81,1330
80,14908,675,81,1330
81,14909,652,81,1330
82,14910,649,81,1330
83,14911,635,81,1330
84,14912,597,81,1330
85,14913,609,81,1330
86,14914,692,81,1330
87,14915,708,81,1330
88,104475,808,67,1490
89,104476,0,67,1490
90,104477,378,67,1490
91,104478,822,67,1490
92,104479,845,67,1490
93,104480,725,67,1490
94,104481,707,67,1490
95,104482,725,67,1490
96,104483,732,67,1490
97,104484,692,67,1490
98,104485,710,67,1490
99,104486,708,67,1490
100,104487,740,67,1490
101,104488,704,67,1490
102,104489,708,67,1490
103,104490,720,67,1490
104,104491,708,67,1490
105,104492,693,67,1490
106,104493,692,67,1490
107,104494,737,61,1234
108,104495,657,61,1234
109,104496,722,61,1234
110,104497,735,61,1234
111,104498,724,61,1234
112,104499,700,61,1234
113,104500,717,61,1234
114,104501,752,61,1234
115,104502,675,61,1234
116,104503,808,61,1234
117,104504,837,61,1234
118,104505,667,61,1234
119,104506,586,61,1234
120,104507,646,61,1234
121,104508,699,61,1234
122,104509,716,61,1234
123,104532,630,55,862
124,104533,0,55,862
125,104534,391,55,862
126,104535,781,55,862
127,104536,796,55,862
128,104537,688,55,518
129,104538,684,55,518
130,104539,724,55,518
131,104540,733,55,518
132,21019,800,104,1026
